id	neighborhood	name	site	description
TC24	Downtown	Lemon Party	126A	When life gave us lemons, we decided to share! Come to Lemon Party and hydrate with a delicious lemonade while enjoying our unique lemon creations. 
TC25	Downtown	Jingles Emporium	127	Jingles Emporium returns again providing those necessary and hard to find items, smokes, lights, tampons, antacids, etc.  You already know we're open 24 hours every day.   BUT WAIT! This year we also transform into JINGLES RADIO! to bring two street party/dance events to get your party vibe on early Thursday and Friday.  Look for us from 8:00 -10:00 for two different music, food, and beverage experiences.
TC26	Downtown	Bermuda Triangle Travel Bureau	128 - 129	Come disappear with us! Our unlikely oasis is the preferred accidental destination for flight attendants, sailors, and intergalactic tourists alike. Join us for special events hosted by our travel agents, or engage in self directed experiences anytime, in one of our art structures. Wander around Lucky Lake to discover our three beacons - which form a Devil’s Triangle within Lakes of Fire! Get lost in paradise today!
TC27	Downtown	Safe Zone	130 - 131, 134	Welcome to Safe Zone, come on in :) This is our home, built by and for trans and queer people at lakes. Our space is oriented around safety above all else and offers a chance to be yourself and connect with other’s living their authentic lives. With a sober juice bar and separate shot bar, you can come relax and have a drink with us. Whether you want to dance it out, roll around in our stuffie pit, or simply enjoy the company of others, you'll find a warm and welcoming atmosphere at Safe Zone.
TC28	Downtown	The Robot and The Mermaid	132	Robot explorer Eggsalod returns to his favorite moop infused planet... Earth, where he opens his Cosmic Bureau of Lost Things, a shop full of oddments and curiosities- “Take a Lost Item Home or Bring A Once Loved Item to Wander” (King Gizzard and the Lizard Wizard albums no longer available.) His friend the mermaid Lumina uses her mystic attunement to create Tarot to Go: pre-selected tarot readings, 3 cards each slipped into colorful art-embossed envelopes for your prognostications. Together they offer this joyful place of connection and reflection, with a refreshing concoction called “Burner Mules.” 
TC29	Downtown	Camp Fuck Around and Find Out	135	Fuck Around and Find Out is a theme camp like no other. Nestled up on the shores of Lucky Lake, this camp is a hub of creativity, self-expression, and uninhibited fun. With a lineup Of enthusiastic burners, veterans and inexperienced alike, it's no secret we have no clue. Fellow burners are invited to let loose and explore their wildest desires. Led by people who haven't any idea what they are doing, Fuck Around and Find Out encourages radical self-reliance and radical self-expression. Whether you're seeking spiritual enlightenment or simply looking to have a good time, this camp promises a transformative experience that will leave you forever changed.  Camp Fuck around and Find Out.  94% Composure 0% Effective. 
TC30	Downtown	Green Fairy Sanctuary	137 - 138	We are creating a space to foster intimate experiences and a sense of wonder, connecting individuals and the natural world.
TC31	Downtown	Blazing Libations	139	Blazing Libations is here for all of your morning (and occassionally night time) hot beverage needs! We have steaming hot water 24 hours a day for a variety of tea, cocoa, and chai with vegan options available. We'll also be serving fresh coffee from 9ish until about noon Wednesday through Saturday. While enjoying your hot beverage, be entertained by some flow artists, puzzles, or maybe even a craft or two.
TC32	Uptown	LoF Yacht Club	31	Are you Not Sure where to launch your watercraft? Are you Not Sure if you received your watercraft permit? Are you Not Sure about water safety? Did you forget to bring a Personal Flotation Device (PFD)? Come visit us at the LoF Yacht Club we are Not Sure and we can help you out.
TC33	Uptown	Not Sure JellyBEEs	32	The BEEs pollinated in the seas! Buzz on by our Underwater Hive to grab bitchin Bee garb, accentuate your stinger, or beebop your antennae doodads. Swarm into the waters and join our collective JellyBEE Hive as we infest the 'promised lands'.
TC34	Uptown	Parents of the Caribbean	33	Welcome to the whimsical shores of Imaginarium Aquarium, where fantastical seas meet the vibrant spirit of the Caribbean! Behold, as we proudly present "Parents of the Caribbean." Set sail with us on a voyage of adventure and discovery, where the treasures we seek are not gold doubloons, but precious memories shared with fellow seafaring parents. Our camp is a sanctuary amidst the bustling waves, where weary pirate parents can find respite and camaraderie. Join us for a myriad of family-friendly activities that will delight both young and old buccaneers alike.
TC35	Uptown	Camp Not Here	34	Feel free to stop by but we probably aren't here. Feed your introvert through relaxing coloring, cloud gazing, and contemplation. Sit around, become Not Here.
TC36	Uptown	I love you	35	We are in space. No one knows what's going on. I love you.
TC37	Uptown	Pool Party	35A	POOL PARTY!! Pool party will be a celebration of all things pool party. With inflatable pools for cooling off and several novelty pools, pool related puns, and pool related games.
TC38	Uptown	Los Mayones	36 - 38	Los Mayones, San Escobar…. Not only a destination but also a state of mind!
TC39	Uptown	The Slippery Pickle	39 - 40	Stop by The Slippery Pickle for picklebacks or try some whiskey lemonade - don't forget your cup! Just the Juice shots available for our non-drinking friends. Open most afternoons & whenever else we feel like it. Now with the Slippery Pickle Ride for our entertainment!
TC40	Uptown	2:39 PBS - The Squirrel Nest/POND	41 - 42	2:39 is a multi-regional collaborative camp, provide food, drink,  fire & Water art, a small shrine, a cuddle aquarium - & always a welcome environment 
TC41	Uptown	Damp Doodles	43	Stop by and get your doodle on! Just remember... nothing lasts forever. 
TC42	Uptown	Schott Klinik and Pharmacy	102 - 103	Various wayward medical professionals and fire folk have congregated in our Schott Klinik, Pharmacy & Leisure Center for many years, offering bad medical advice, poorly chosen remarks, not to mention unconventional and unacceptable behavior. We ain't right in the head. We'll be serving up popcorn, boozes & Coneys. All the good stuff is DarkRaven's responsibility. Any complaints may be addressed to and are the responsibility of the Harv.
TC43	Uptown	Drink, Bitch!	104 - 106	Drink, Bitch! is in its 5th year with your favorite off key refreshments! Come join us for scheduled drink offerings: Lemonade social, My Tie Mai Tais, our famous Bloody Mary's, Absinthe Ritual and Apple Pie Moonshine! Come relax and talk story on our world class inflatable couches and explore our Aquarium of Wonder! We offer paddleboard lessons and loaners and suspension /bondage demonstrations for all ages and levels. We have a mobile emergency Rice Krispy and beverage cart, but you must answer questions first! 
TC44	Uptown	Deep House of Pancakes	107	Welcome to Deep House of Pancakes, where beats and breakfast collide! Immerse yourself in themed DJ sets featuring 808s and pancakes, alongside a lineup of deep house bangers. Whether you're craving fluffy stacks in the morning or seeking late-night indulgence, we've got you covered. Our griddle is always sizzling, serving up piping hot pancakes and freshly brewed coffee. Operating on our own unique schedule, we might be open in the morning, late at night, or somewhere in between—or maybe not at all. Just follow the glow of our pancakes sign, and let the rhythm guide you to a culinary and musical experience unlike any other.
TC45	Uptown	Struggle Bus	108 - 109	Our struggles are real, but our busses are not. Grab a fashionable, wearable Struggle Bus to take on a you-powered adventure; stop in for happy hour, a flavor tripping event for your lazy taste buds, a cocktail (or mocktail) featuring a flower that will leave your mouth buzzing with excitement; or just give your feet a break and rest up in our lounge. 
TC46	Uptown	HippoCampUs	110 - 111	HippoCampUs is celebrating the bodies of our community! Come connect with, affirm, and appreciate your body! Visit our annual Ror-chest Test print making and interpretation, along with other paint and sensory activities. Come dip your chest in ink and post it on our billboard or for our black light body painting event. Our space will be open 24/7 for all bodies alike to come enjoy and interpret Ror-chest prints, giving them good vibes and kind words. When you are using your body for gallivanting the burn, stop by for a drink at our hydration station or the occasional alcoholic beverage.
TC47	Uptown	Jupiter's Arcade	112	Jupiter's Arcade offers the 200 most popular video games from 30+ years ago.  Feel the joy of our classic console and cabinet arcade games!  Mention this ad to Jupiter for sticker or patch. Also cup/bowl gifting/exchange table for "burners without containers." We accept quality donations of clean, non-breakable cups/bowls. We randomly serve various quesadillas from our kitchen, and mobile grill wagon. PawPaw wine tasting at Crappy Bar, Friday 4-6p.
TC48	Uptown	We Don't Need Another Hero/Rita's Cafe	113 - 114	We are your cozy neighborhood bar or greasy spoon. If your neighborhood is an irradiated wasteland with cannibals and killer robots. Come for the survival. Stay for the charm.
TC49	Uptown	Camp One More Thing!	115	Camp One More Thing where there is always one more thing getting added to the mix! Come  chill in our roadside lounge area and have a drink from the bar while being entertained by boingable objects and some fun art contributions. We always love the company!
TC50	East End	dcbbq	A	BBQ = Art. The dcbbq is Lakes of Fire’s participatory BBQ art project.  For 11 years our camp has nurtured the shared enjoyment of food and the smoking arts by gifting BBQ to LoF. This year our BBQ pop-up “Beach Meat” returns and we want YOU to pop-up your gifts with us. Join us as we serve BBQ at scenic Lake spots around in collaboration with your favorite camps.  Our smokers run 24x7 in service to the community. Be on the hunt for the elusive mobile “Meat Wagon”, and we love feeding artists.  Remember, the BBQ is ready when it's ready.
TC51	East End	Firewater Lounge	B	This merry pack of miscreants (ok, not so merry), ne'er-do-wells, and naysayers have been doing it all wrong since the inception of this event.  We're a seasoned, salty crew of OG Burners, leads, movers and shakers who happily provide our own flavor awesome yearly. We may not bring the noise, but we do happily provide a safe and comfortable atmosphere for those who visit.  You're guaranteed to leave with a handful of tasty noms, earholes full of awesome tunes, and even tastier libations.
TC52	East End	The Sexy Space Raiders From Space	C	The Sexy Space Raiders From Space (FROM SPAAACCEEE) is a party camp founded by a bunch of intergalactic space skanks! Our mission is to learn as much as possible about Urth and its many pleasures. Come hang out at our bar, The Flying Saucy, and let us collect valuable data on human behavior! In return you will enjoy music, entertainment, conversation, and beverages with ingredients sourced lightyears away. 
TC53	East End	Bunny Camp	D	Bunny camp brings you fabulous burner clothing. We have been a hit for several years with our specialty clothing that seems to fly off the racks. Open every day for you to stop by and go away with some new threads. We also have mutant stuffed animal making on Saturday. Our tiny bar provides non-alcoholic libations. Come on in and we will underserve you over and over again.
TC54	East End	Church of the 13 Unicorns - A Sea of Unicorns	E	Come splash around in a Sea of Unicorns! COT13U conducts celebrations daily at 13:00 hours. Afternoons Bishop Boom Boom provides Burner Wedding Services including temporary, multiperson, or interspecies marriages with cake! Frolic through the seahorse obstacle course and play unicorn horn ring toss. Chill/cuddle in the unicorn bar and lounge with snacks, cocktails, and artisan mocktails. Friday 2:30 PM join us for Mama Micki's Ice Cream Social. See daily listing for additional events. Results may vary, not available in all states of mind; narwhals, seahorses and mythical creatures welcome. Neighmaste!
TC55	East End	Camp Chill, Charge and Relax	F	Camp Chill,Charge and Relax is a camp where you can charge your phones, tables, vapes, lights or anything else (no high energy draw items like toasters or water kettles).  We will have fast charging blocks (bring your own cords) as well as powerstrips available 24 hours a  day.  We are here to help keep you in contact, lit up and happy!   If the lights are on...we are open!   We also have a selection of colorful tents with tables and chairs for anyone to chill out and hang while you charge with different themes in each one.  Stay dry...out of the sun...or hang out at our firepit with us later in the evenings and get to know new friends.  This is our first Lakes of Fire but have been hosting this at Playa del Fuego and Constellation for almost 12 years on the East Coast!
TC56	East End	Crappy Bar	G	Come for a crappy drink.  Leave because of the crappy jokes.  But don't hate on our crappy music because we're just happy to be here...maybe!
TC57	East End	Cat Camp!	H	We, the Cats of Lakes of Fire, invite all who have ever desired to be a feline to come play, lounge, and otherwise indulge your inner-cat with us. Ascend our human-sized cat tree, play with our assortment of large cat toys, or perhaps make some cat art of your own. You can even foster one of our Human Cats for a short time. Come dance and prowl the Lake with us, meow!
TC58	East End	Sounds Fishy to Me	I	Who lives in a CUCUMBER under the sea!? FishBob SquareParts! Come float your finny fannies on our side of the fishbowl to enjoy a chill space and drinks with friends while we play beloved and famous (not phony), #1 aquatic blockbusters. We have box office hits such as The Tiny Mer-girl, Searching for SeaMo, and SHARKCANO! That's right- Grade A originals with a ZERO PERCENT possibility of copyright infringement. Swim on over in your coziest mermaid scales or fancy gills to score some boozy Tank Water a là bowl (or mock-fin Guppy Juice). Occasional AQUARIUM-friendly games and the rare "Opening of the Treasure Chest". 
TC59	East End	Dive Camp Trailer Park	J	Those crazy divers and their friends.  What started as a group of scuba diving friends from Dallas has grown over the years with members from San Francisco, Reno, and Arkansas.   We focus on the socialization aspect of burns and our patio is always open, so come sit for a while and visit with us.  Join us for omelet-in-a-bag breakfast, cocktails/mocktails, pendant casting,  and muffins!
TC60	East End	Pleasure House	K	Pleasure House is a clothing optional, body positive, sex positive Lakes of Fire camp. We are both queer and straight friendly. We provide a place for campers to enjoy their sensuality. Our camp includes an adult intimate play space where couples or groups can come for sexy play. We will have themed parties including massage, tantra, boys only, girls only and more. We will also be handing out condoms and safer sex supplies to promote safe play throughout Lakes of Fire.
TC61	East End	Bliss Bunnies	L	Bliss Bunnies is an LGBTQIA++ friendly adult theme camp.  Programming features evening performances on the Slut Altar and the Cage Pole, Adult Trivia, and kink education with demos on the St Andrew's Cross.  Daytime PG13 programming includes guided meditation and water ceremony as well as a chill space.We will host the 2nd Annual LoF Swag Swap too! Bliss Bunnies encourages their fellow burners to embrace exploration and the beauty of radical self-expression.
TC62	East End	Aquarium of Sluts	M	The Aquarium of Sluts is a smorgasborg of slutty shenanigans! We combine a passion for all things plant and sex positivity for a one-of-a-kind experience. The camp is set in a WET oasis where burners can learn about plants & kink. Throughout the day sluts keep it casual, interspersed with workshops on consent, kink, and plants. In the evenings, come to the Aquarium to enjoy our silly, slutty performances. Aquarium of Sluts encourages creativity and experimentation, allowing campers to explore the intersection between nature and art. It's the perfect opportunity for those interested in plants and kink to learn and connect in a beautiful and immersive setting.
TC63	East End	Bare Butt Camp	N	A camp dedicated to taking care of your butt! Come get your butt smooched, massaged, and polished!
TC64	East End	Flow Temple	O	Step into a world of delights at Flow Temple and experience a space dedicated to sacred sexuality, kink, and poly/enm dynamics.  Our camp offers a serene and respectful environment where individuals can connect deeply with themselves and others. Through workshops and intimate gatherings, the Temple of Flow provides a safe space for participants to explore tantric practices, conscious touch, and other modalities of sacred sexuality. Here, the principles of consent, respect, and mutual understanding are paramount, fostering a community where authenticity and openness flow freely. Join us at the Temple of Flow to embark on a transformative journey of self-discovery and intimate connection.
TC65	Keyhole	Cosmic Disco	KW1	Welcome to the Cosmic Disco, where galaxies collide and beats transcend time and space! Step into our shimmering realm where the dance floor is your launch pad to the stars. Feel the pulsating rhythms of the universe as our DJs spin otherworldly tracks that bridge the gap between galaxies. From funky basslines to interstellar melodies, let the music take you on a journey through the cosmos. Make new friends and forge cosmic connections as you dance, laugh, and explore together. In the Cosmic Disco, everyone is united by the universal language of music and dance.
TC66	Keyhole	The Spice Aquatic	KW2	Join us on the Spice Aquatic! We've explored the deepest depths of the Imaginarium Aquarium to bring you the hottest and rarest sauces around! We also have hot snacks and hot friends to spice up your lakes. You'll also want to make sure to take a dip in the capsaicin basin while you're here! 🌶️
TC67	Keyhole	Baby Fight Club	KW3	Look for the BABY BEACON and come join “Baby Fight Club” as we host a riot of interactive festival fun! Submerge yourself in the make believe world that is Baby Fight Club. Professional DJs play-out as the dance floor opens, daddy daycare strippers drop their Pampers as we bet on our favorite baby fighters and host our way into our weekend’s main event… Baby Fight Night!! 
TC68	Keyhole	Stuffie	KW4	Mr. Buttstuff presents… Camp Stuffie! Where creativity meets comfort! Our iconic “Grampa Joe Couch” provides a soft, cloud-like refuge where burners can unwind, share stories, and recharge. Expect plush cushions, cozy blankets, and plenty of stuffies! Whether you need a break from reality or crave human connection, our cuddle space awaits. Let your creativity soar with our DIY build a burn rat station or climb our scaffolding for a new perspective of the burn.
TC69	Keyhole	VIB (Very Important Burners)	KW5	The Royal Society of Very Important Burners (VIB) embodies the principle of Radical Self Importance. Our exclusive lounge area, table service signature cocktails, and culinary experiences are open to only the burniest of burners. All new members must be vouched for by existing VIBs, or complete a rigorous screening process.
TC70	Keyhole	Brewtalitea	KW6	A refuge for headbangers, metalheads, and those that are metal-curious brewtalitea brings a crowdsorced playlist of tastey metal jams and pairs it with a variety of loose leaf teas. During the day we encourage musicians to jam freely with a drum kit and other instruments, but at night, we whiskey. Pinkies out bitches! \m/
TC71	Keyhole	Welcome HAUM	KW7	We are an all ages camp offering food, cozy space, board games, lawn games and an open mic / jam space...
TC72	Keyhole	FLOW MY GOSH!	KW8	FLOW MY GOSH! Get excited! We (the camp formerly known as Flow Garden) are bringing back our newly expanded flow prop library and flow space with the goal of curating a welcoming and creative atmosphere for flow artists of all levels. Hosted events include a community fire jam on at least one night of the burn, a 90’s dance party power hour, a pancake breakfast, and various skill shares throughout the burn. Aquatic treats and gifts will be presented by our 2024 mascot art installation, OCTOPOI!!!
TC73	Keyhole	Sad Kids Club	KW9	Would you be the savior of the broken, the beaten and the damned? Calling all sad kids to the Sad Kids Club - if you still have band posters on the walls of your bedroom (or wish you did), this is the place for you. Come hang out with your 'elder emo' companions to dance, sing, and cry to all of your favorites that got us through our formative years.
TC74	Keyhole	Smoky Bubbles	KW10	What’s that drifting happily along? Why it's Smoky Bubbles! Celebrating our 10th year at Lakes (on and off), Smoky Bubbles offers a welcome place for all travelers to sit back and relax amidst their journey. A variety of hookah offerings, tiki drinks and tea are always on tap. Learn fancy parlour tricks such as blowing an engaging Smoky Ring towards your partner, or poofing fancy Smoky Bubbles from one of our talented Hookars. After enjoying hookah and refreshments, treat yourself to an unforgettable dip in our wig lagoon (it's deeper than appears!), visit our art glass wishing tree or marvel in awe at the world's only tie-dyed volcano. Check out sign board for daily events and meanderings.
TC75	Keyhole	The Den of Thieves	KC1	Rest ye weary sea legs and get out from the watchful eye of the empire’s privateers at the Den of Thieves: a small island in international waters where lawless freaks, fools, and troublemakers can seek refuge from the galeforce din of soundcamp music and light. The fires in front of Lakevater Cove beckon cold and weary travelers. Delve deeper still to find The Grotto: a surprisingly comfortable cavern where patrons can test their nimble fingers on fabric arts or sit entranced as the denizen storytellers weave their tales. Sit and stay a spell, traveler.
TC76	Keyhole	Dad Camp	KC2	We are Dad Camp!  A collection of wanna be daddies that set off on a fishing trip at Lucky Lake and are looking for some burners in need of unsolicited advice, 100% true fishing tales and perhaps a little snackage!  Can't wait to see ya'll on the lake!
TC77	Keyhole	Mom Camp	KC3	Step into Mom Camp, your home away from home on the Lake. Nestle into our plush couches, nibble on freshly baked cookies, and sip on cool refreshments. Feeling crafty? Dive into our stash of art supplies and let your creativity soar. As the sun sets, join us for live game shows that'll tickle your funny bone and challenge your wits. At Mom Camp, we're all about creating cozy memories and fostering a sense of community. So come on over, kick off your dusty boots, and let us pamper you with a dash of maternal love and a whole lot of fun.
TC78	Keyhole	Camp Squish	KC4	Camp Squish; a place of rainbows, comfort, curated connection, and a place to be consensually squished. The Squishee’s are a group of cute, queer, neurodivergent individuals who aim to provide a cozy place to unleash the inner child within. We’re here to encourage your hearts, provide a comfy place for connection, and support anyone in need - just ask and the Squish will provide.
TC79	Keyhole	The Ranch	KC5	Y'all means all around these parts, pardner! We welcome the stranger so come hang your hat and kick up your feet in The Angler Lounge. Maybe you'll catch a bit of live music, a one-shot game, a cuddle puddle, or if you're truly lucky you'll stumble in right as supper is served!  
TC80	Keyhole	Camp Side Quest	KC6	Camp Side Quest is here to fill all your magical and quest giving needs! Come find your remedy or pick your poison at the local tavern (complete with pirates, banshees, and THE BLACK DOT!), lounge under the sea and maybe rave with the jellyfish, engage with a resident NPC for a short adventure or a life changing quest, or tempt the fates and toss a coin in the cursed wishing well. Whatever course you chart with us - we promise it will be magical! 
TC81	Keyhole	Atmospheria	KC7	Atmospheria is a planet home to the moth people, who are drawn to the light that shines both outside and within others. The moth people strive to offer an inter-planetary rest and connection area for Lakes of Fire space travelers. Upon traversing the Portal to Atmospheria, travelers can visit the Landing Hub, a meeting space with workshops and a bar that serves cocktails/mocktails, and the Lamplight Lounge, which features Atmospheria’s unique flora and fauna garden, seating spaces, fire heaters, and a stage for fire, flow, burlesque, and music.
TC82	Keyhole	Camp YNot	KC8	Camp YNot is a sophisticated retreat from the congested main streets and the confusing chaos. Pinkee our Unicorn encourages all guests to escape society and class constraints. Wear your best and join us…  Camp YNot features Mega’s Cantina, home of the Famous Rosé-All-Day Hour! and will once again be hosting Tapeworm Happy Hour. Always featuring single origin, artisanal tapeworms from around the globe. Choose wisely to suit your personal needs. (Antidotes will be available Saturday) Beautiful non-alcoholic creations will also be served at Mega’s Cantina. Camp YNot hails from Toronto, Ontario, Canada/New York, New York, USA/Los Angeles, California, USA and beyond.  Camp YNot is the home of SlyMega Art. Solar Powered LED light art from Toronto, Ontario, Canada.  Camp YNot brings love and light and magic and Rosé to Burners far and wide.
TC83	Keyhole	Kidsville	KE1	Kidsville  A community of LOF's youngest Burners and their families. Stop in and enjoy the Kidsville lemonade stand and whatever random shenanigans the kids have going on!
TC84	Keyhole	Off-Duty Angels	KE2	Off-Duty Angels is a meditative healing arts camp providing a restorative space to repose and realign when visitors may feel overstimulated by the frenetic energies of a Burn. Our communal space includes a central yurt/shrine flanked by canopies furnished with low tables and cushions for visitors to enjoy refreshment consisting of hot citron tea and chilled fruited water. The space is filled with multicolored glowing lighting, ambient meditation music, various aromatherapies (incense, smudge, hydrosols, and essential oils) and is decorated with rugs, tapestries, and floral garlands. Periodic programming by healing arts practitioners will be offered during the day.
TC85	Keyhole	Break-xodus	KE3	Sunday Breakfast? We got it! You've packed your kitchen and are down to your last Cheeto. Fear not! Camp Break-xodus has bacon, COFFEE, eggs, bagels, cereal, juice, baked treats (including GF) from 9:00 - Noon (or whenever we run out).
TC86	Keyhole	Camp Tramp Stamp	KE4	Come by Camp Tramp Stamp! Get your stamp if you are feeling like a TRAMP!  Friday evening after dark we will have our Friday Night Live event complete with classic SNL shorts on the big screen and alcoholic beverages to boot.  If you really want to get your tramp on… we have classy “modifier” stamps as well… (think VOIDED, PAST DUE, GRADE A... etc).  Our goal is to bring laughter and fun to all those we encounter!  
TC87	Keyhole	The Calico Carp and Gingham Guppies	KE5	Join us for a curated blend of eclectic events and relax under our colorful tents.  Our events will include guided mediation, plushie shibari, stories read aloud, tarot, a touch tank and more!  Also, a mysterious yellow submarine has risen from the depths right in the middle of our camp.  Oh my.
TC88	Keyhole	Camp Ahlunama	KE6	Camp Ahlunama will be hosting a Friday Night Full Moon drum circle. Location TBA. We will also run the "Fresh Trax" program where artists can record their song ideas and we will produce an MP3 on the spot. We are bringing our Mobile recording studio. Sign up for recording sessions is required to ensure enough time for completion. Ahlunama will also be performing at various LOF stages throughout the gathering.
